Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Mexico,7.75,7.83,7.83,7.83,7.67,10.0,8.08,8.0,10.0,10.0,85.0
Kenya,7.75,7.92,8.17,7.83,7.67,10.0,7.83,7.83,10.0,10.0,85.0
Kenya,8.08,7.75,7.75,7.75,8.0,10.0,7.83,7.83,10.0,10.0,85.0
Brazil,7.83,7.83,8.0,7.67,7.67,10.0,8.0,8.0,10.0,10.0,85.0
Mexico,8.08,7.75,7.92,7.83,7.42,10.0,7.83,8.17,10.0,10.0,85.0
United States of America,7.75,7.75,7.75,8.0,8.0,10.0,7.83,7.92,10.0,10.0,85.0
Guatemala,8.0,7.67,7.83,7.67,7.75,10.0,8.0,8.08,10.0,10.0,85.0
Colombia,7.83,7.67,7.92,7.83,7.92,10.0,7.83,7.92,10.0,10.0,84.92
Colombia,7.83,7.75,7.92,8.0,7.75,10.0,7.83,7.83,10.0,10.0,84.92
Taiwan,7.58,8.0,7.67,7.92,8.0,10.0,7.92,7.83,10.0,10.0,84.92
United Republic of Tanzania,7.92,7.83,8.0,7.75,7.75,10.0,7.83,7.83,10.0,10.0,84.92
Colombia,7.75,7.83,7.75,8.0,7.75,10.0,7.92,7.92,10.0,10.0,84.92
Mexico,7.83,7.75,7.75,7.92,7.5,10.0,8.17,8.0,10.0,10.0,84.92
Brazil,7.75,7.75,8.0,7.75,8.0,10.0,7.75,7.92,10.0,10.0,84.92
Brazil,8.0,7.75,8.0,7.75,7.5,10.0,7.92,8.0,10.0,10.0,84.92
Kenya,8.17,7.83,8.0,7.75,7.92,10.0,7.58,7.67,10.0,10.0,84.92
Taiwan,7.83,7.83,7.92,7.83,7.83,10.0,8.0,7.58,10.0,10.0,84.83
Uganda,7.67,7.67,7.75,7.75,8.25,10.0,7.83,7.92,10.0,10.0,84.83
United States of America,7.75,7.75,7.67,8.0,7.83,10.0,8.08,7.75,10.0,10.0,84.83
Ethiopia,7.92,7.83,7.75,7.67,7.75,10.0,8.0,7.92,10.0,10.0,84.83
Ethiopia,8.0,7.92,7.42,7.83,7.83,10.0,7.92,7.92,10.0,10.0,84.83
Thailand,7.75,7.75,7.75,7.75,8.0,10.0,8.0,7.75,10.0,10.0,84.75
Kenya,7.92,7.58,7.92,7.83,7.75,10.0,7.92,7.83,10.0,10.0,84.75
Honduras,7.67,8.0,7.83,7.67,7.67,10.0,8.17,7.75,10.0,10.0,84.75
El Salvador,8.33,8.0,7.75,7.92,7.67,10.0,7.75,8.0,9.33,10.0,84.75
Nicaragua,7.83,7.58,7.83,7.67,7.75,10.0,8.5,7.58,10.0,10.0,84.75
El Salvador,8.0,7.5,7.83,7.67,7.83,10.0,8.0,7.83,10.0,10.0,84.67
Indonesia,7.75,7.75,7.92,7.75,7.75,10.0,7.92,7.83,10.0,10.0,84.67
Japan,7.42,7.75,7.75,7.83,8.08,10.0,8.08,7.75,10.0,10.0,84.67
Costa Rica,7.83,7.67,8.08,7.92,7.5,10.0,7.92,7.75,10.0,10.0,84.67
Guatemala,8.0,7.58,7.75,7.75,7.92,10.0,7.83,7.83,10.0,10.0,84.67
Costa Rica,7.17,7.83,8.17,7.75,7.83,10.0,7.92,8.0,10.0,10.0,84.67
Ethiopia,7.83,7.75,8.08,7.67,7.58,10.0,7.92,7.83,10.0,10.0,84.67
Costa Rica,7.75,7.75,7.67,8.58,7.67,10.0,7.67,7.58,10.0,10.0,84.67
Costa Rica,7.75,7.83,8.0,7.75,7.75,10.0,8.0,7.58,10.0,10.0,84.67
Costa Rica,7.83,7.75,8.08,8.0,7.92,10.0,7.92,7.83,9.33,10.0,84.67
Taiwan,7.75,7.75,8.0,7.75,7.75,10.0,7.75,7.92,10.0,10.0,84.67
